OrderID,CustomerID,OrderDate,ProductID,Quantity,Discount,PaymentMethod,Status
500001,103695,2025-08-28,2003,4.0,0.1,Gateway,Completed
500002,107935,2024-05-31,2014,1.0,0.1,Wallet,Completed
500003,105141,2025-08-10,2002,1.0,0.2,CardToCard,Completed
500004,108780,2024-10-11,2012,1.0,0.1,Gateway,Completed
500005,101187,2024-02-19,2008,2.0,0.0,Gateway,Completed
500006,105545,2024-07-16,2011,4.0,0.0,Gateway,Returned
500007,106418,2025-10-15,2017,1.0,0.05,Wallet,Completed
500008,108755,2024-12-03,2014,1.0,0.0,Gateway,Completed
500009,105133,2025-04-15,2004,1.0,0.1,Gateway,Completed
500010,103111,2024-04-28,2014,2.0,0.05,Gateway,Cancelled
500011,102192,2024-03-21,2004,3.0,0.3,Gateway,Completed
500012,102921,2024-07-25,2001,1.0,0.05,Wallet,Completed
500013,101803,2025-02-12,2005,3.0,0.1,CardToCard,Completed
500014,108853,2026-01-01,2001,2.0,0.05,CardToCard,Completed
500015,102106,2025-10-21,2017,1.0,0.0,Wallet,Completed
500016,104175,2024-05-18,2002,3.0,0.0,Gateway,Completed
500017,101158,2024-03-02,2001,2.0,0.05,Gateway,Completed
500018,109942,2024-07-13,2013,2.0,0.0,Gateway,Completed
500019,104270,2026-01-06,2013,1.0,0.0,CardToCard,Completed
500020,109355,2025-03-21,2017,2.0,0.2,Cash,Completed
500021,105138,2025-11-28,2017,2.0,0.0,Gateway,Completed
500022,105368,2024-11-15,2013,2.0,0.0,Gateway,Completed
500023,108138,2025-05-25,2006,1.0,0.2,Cash,Completed
500024,107845,2025-05-28,2013,3.0,0.0,Gateway,Completed
500025,109039,2025-06-25,2013,1.0,0.15,Gateway,Completed
500026,107998,2025-02-10,2010,2.0,0.05,CardToCard,Completed
500027,108982,2024-07-25,2006,2.0,0.1,Cash,Completed
500028,103563,2025-01-05,2002,1.0,0.0,Gateway,Completed
500029,100210,2026-05-29,2002,1.0,0.1,Wallet,Completed
500030,104615,2024-08-23,2019,2.0,0.05,CardToCard,Completed
500031,101683,2025-09-18,2011,2.0,0.0,Gateway,Completed
500032,109032,2026-04-21,2008,2.0,0.0,Wallet,Completed
500033,107365,2025-05-04,2007,3.0,0.05,Gateway,Completed
500034,105082,2025-02-26,2004,2.0,0.05,Gateway,Completed
500035,106013,2024-04-14,2008,5.0,0.1,Wallet,Completed
500036,103010,2025-10-12,2017,2.0,0.2,Wallet,Completed
500037,107822,2026-03-10,2013,1.0,0.0,Gateway,Completed
500038,101279,2026-06-06,2001,4.0,0.15,Gateway,Completed
500039,107601,2024-06-23,2013,5.0,0.05,Gateway,Returned
500040,104265,2026-03-21,2011,4.0,0.1,Gateway,Cancelled
500041,104458,2024-11-16,2010,2.0,0.3,Gateway,Completed
500042,104499,2025-06-19,2006,1.0,0.1,Gateway,Completed
500043,109584,2024-07-12,2020,1.0,0.0,Gateway,Completed
500044,104936,2024-08-02,2005,1.0,0.0,CardToCard,Completed
500045,100241,2025-06-18,2017,2.0,0.05,,Completed
500046,107541,2025-02-22,2002,1.0,0.05,CardToCard,Completed
500047,109317,2026-05-16,2003,3.0,0.0,CardToCard,Completed
500048,109778,2024-08-16,2010,2.0,0.0,Cash,Completed
500049,102735,2026-01-28,2003,2.0,0.0,CardToCard,Completed
500050,103894,2025-02-01,2017,1.0,0.05,Gateway,Completed
500051,102673,2024-04-26,2011,1.0,0.0,Gateway,Completed
500052,108100,2024-07-25,2013,3.0,0.1,Wallet,Completed
500053,106454,2025-10-14,2013,1.0,0.0,Wallet,Completed
500054,106300,2025-12-15,2011,1.0,0.2,Wallet,Returned
500055,109861,2024-02-04,2011,2.0,0.15,Cash,Completed
500056,108499,2024-12-20,2018,2.0,0.0,Wallet,Completed
500057,101360,2025-03-02,2011,1.0,0.0,Gateway,Completed
500058,104257,2025-06-15,2010,2.0,0.0,Gateway,Completed
500059,109227,2025-07-16,2003,1.0,0.0,Wallet,Completed
500060,104648,2025-12-18,2009,2.0,0.15,Wallet,Completed
500061,103566,2024-08-24,2011,2.0,0.0,Cash,Completed
500062,103020,2024-04-06,2007,3.0,0.05,Gateway,Completed
500063,106946,2024-06-10,2011,1.0,0.0,Gateway,Completed
500064,107003,2026-04-11,2015,2.0,0.1,CardToCard,Completed
500065,104518,2025-04-17,2014,1.0,0.0,CardToCard,Completed
500066,102799,2024-07-08,2017,1.0,0.05,Gateway,Completed
500067,100378,2025-11-09,2013,1.0,0.05,Gateway,Completed
500068,104093,2025-05-22,2002,1.0,0.05,Wallet,Cancelled
500069,103550,2024-11-13,2011,4.0,0.1,Gateway,Returned
500070,105158,2024-01-16,2003,3.0,0.0,Gateway,Completed
500071,100053,2025-11-07,2008,1.0,0.1,Wallet,Completed
500072,108212,2025-09-12,2017,1.0,0.2,CardToCard,Completed
500073,102545,2024-08-14,2002,2.0,0.05,Gateway,Completed
500074,106487,2024-08-17,2014,5.0,0.1,Gateway,Completed
500075,104951,2024-08-22,2007,1.0,0.05,Wallet,Completed
500076,105369,2025-08-02,2014,3.0,0.05,Gateway,Completed
500077,108987,2024-09-11,2003,2.0,0.3,Gateway,Completed
500078,100771,2024-09-25,2002,2.0,0.3,CardToCard,Completed
500079,103388,2024-11-21,2015,2.0,0.2,Wallet,Completed
500080,100685,2026-06-05,2013,1.0,0.0,Gateway,Cancelled
500081,107845,2025-02-01,2018,2.0,0.0,Gateway,Completed
500082,103580,2024-11-22,2007,3.0,0.05,CardToCard,Completed
500083,104496,2025-02-10,2008,1.0,0.0,Wallet,Completed
500084,100243,2025-09-13,2013,3.0,0.05,CardToCard,Completed
500085,106025,2026-02-03,2003,1.0,0.0,Gateway,Completed
500086,102251,2026-06-19,2001,1.0,0.0,Gateway,Completed
500087,100613,2025-02-23,2015,2.0,0.0,Gateway,Completed
500088,109509,2025-02-01,2008,3.0,0.05,CardToCard,Completed
500089,105172,2024-10-12,2019,2.0,0.05,Gateway,Completed
500090,102165,2025-11-04,2003,4.0,0.1,Wallet,Completed
500091,103486,2025-07-20,2003,1.0,0.1,Cash,Cancelled
500092,107995,2024-11-09,2001,5.0,0.05,CardToCard,Completed
500093,104739,2025-03-23,2018,2.0,0.1,Gateway,Completed
500094,106590,2024-06-26,2015,2.0,0.3,Gateway,Completed
500095,102948,2025-08-22,2020,1.0,0.15,Gateway,Completed
500096,101255,2024-08-05,2018,1.0,0.0,CardToCard,Completed
500097,100083,2024-10-29,2004,1.0,0.3,Gateway,Completed
500098,102041,2024-02-29,2017,3.0,0.0,Gateway,Cancelled
500099,109236,2024-07-09,2014,4.0,0.1,CardToCard,Completed
500100,100300,2024-06-17,2005,3.0,0.0,CardToCard,Completed
500101,100163,2025-09-27,2008,2.0,0.15,Gateway,Completed
500102,100303,2025-08-23,2010,1.0,0.0,Gateway,Completed
500103,107340,2025-04-10,2005,1.0,0.05,Gateway,Completed
500104,108874,2024-11-30,2005,1.0,0.1,CardToCard,Completed
